kanji,kana,roman,lat,lng,class
網走川,あばしりがわ,Abashiri Gawa,44.017,144.283,River
網走湖,あばしりこ,Abashiri Ko,43.967,144.183,Lake
網走市,あばしりし,Abashiri Shi,44.017,144.267,Municipality
安倍川,あべかわ,Abe Kawa,34.933,138.400,River
我孫子市,あびこし,Abiko Shi,35.867,140.033,Municipality
安平町,あびらちょう,Abira Cho,42.767,141.817,Municipality
安平川,あびらがわ,Abira Gawa,42.617,141.733,River
安房峠,あぼうとうげ,Abo Toge,36.200,137.583,Pass
阿武町,あぶちょう,Abu Cho,34.500,131.467,Municipality
阿武川,あぶがわ,Abu Gawa,34.417,131.400,River
阿武隈川,あぶくまがわ,Abukuma Gawa,38.050,140.917,River
阿武隈高地,あぶくまこうち,Abukuma Kochi,37.367,140.767,Extensive natural feature
阿智村,あちむら,Achi Mura,35.450,137.750,Municipality
足立区,あだちく,Adachi Ku,35.767,139.800,Municipality
足立山,あだちやま,Adachi Yama,33.867,130.917,Mountain
安達太良山,あだたらやま,Adatara Yama,37.617,140.283,Mountain
安曇川,あどがわ,Ado Gawa,35.317,136.083,River
阿賀川,あががわ,Aga Gawa,37.667,139.600,River
阿賀町,あがまち,Aga Machi,37.683,139.467,Municipality
阿賀野川,あがのがわ,Agano Gawa,37.967,139.133,River
阿賀野市,あがのし,Agano Shi,37.833,139.233,Municipality
吾妻川,あがつまがわ,Agatsuma Gawa,36.500,139.017,River
上松町,あげまつまち,Agematsu Machi,35.783,137.700,Municipality
上尾市,あげおし,Ageo Shi,35.983,139.600,Municipality
阿久比町,あぐいちょう,Agui Cho,34.933,136.917,Municipality
粟国島,あぐにじま,Aguni Jima,26.583,127.233,Island
粟国村,あぐにそん,Aguni Son,26.583,127.233,Municipality
相島,あいしま,Ai Shima,34.500,131.283,Island
愛別町,あいべつちょう,Aibetsu Cho,43.900,142.583,Municipality
愛知県,あいちけん,Aichi Ken,35.183,136.900,Municipality
愛知用水,あいちようすい,Aichi Yosui,34.717,136.950,River
相川,あいかわ,Aikawa,38.033,138.233,Populated area
愛川町,あいかわまち,Aikawa Machi,35.533,139.317,Municipality
愛南町,あいなんちょう,Ainan Cho,32.967,132.583,Municipality
相ノ島,あいのしま,Ainoshima,32.917,129.183,Island
相島,あいのしま,Ainoshima,33.767,130.367,Island
相生市,あいおいし,Aioi Shi,34.800,134.467,Municipality
姶良市,あいらし,Aira Shi,31.733,130.633,Municipality
愛西市,あいさいし,Aisai Shi,35.150,136.733,Municipality
愛荘町,あいしょうちょう,Aisho Cho,35.167,136.217,Municipality
会津朝日岳,あいづあさひだけ,Aizuasahi Dake,37.217,139.333,Mountain
会津坂下町,あいづばんげまち,Aizubange Machi,37.567,139.817,Municipality
藍住町,あいずみちょう,Aizumi Cho,34.133,134.500,Municipality
会津美里町,あいづみさとまち,Aizumisato Machi,37.467,139.833,Municipality
会津若松市,あいづわかまつし,Aizuwakamatsu Shi,37.500,139.933,Municipality
網地島,あじしま,Aji Shima,38.267,141.483,Island
鰺ヶ沢町,あじがさわまち,Ajigasawa Machi,40.783,140.217,Municipality
網代,あじろ,Ajiro,35.050,139.083,Populated area
阿嘉島,あかじま,Aka Jima,26.200,127.283,Island
阿嘉海山,あかかいざん,Aka Kaizan,22.333,125.600,Undersea feature
赤村,あかむら,Aka Mura,33.617,130.867,Municipality
赤平市,あかびらし,Akabira Shi,43.550,142.050,Municipality
赤岳,あかだけ,Akadake,35.967,138.367,Mountain
赤泊,あかどまり,Akadomari,37.867,138.400,Populated area
赤川,あかがわ,Akagawa,38.850,139.783,River
赤城山,あかぎさん,Akagi San,36.550,139.167,Mountain
赤井川村,あかいがわむら,Akaigawa Mura,43.083,140.817,Municipality
赤石岳,あかいしだけ,Akaishi Dake,35.467,138.150,Mountain
赤石川,あかいしがわ,Akaishi Gawa,40.767,140.150,River
赤石山脈,あかいしさんみゃく,Akaishi Sanmyaku,35.467,138.217,Extensive natural feature
赤磐市,あかいわし,Akaiwa Shi,34.750,134.017,Municipality
阿寒富士,あかんふじ,Akan Fuji,43.367,144.000,Mountain
阿寒川,あかんがわ,Akan Gawa,43.000,144.267,River
阿寒湖,あかんこ,Akan Ko,43.450,144.100,Lake
明石海峡,あかしかいきょう,Akashi Kaikyo,34.617,135.017,Sea Area
明石市,あかしし,Akashi Shi,34.650,135.000,Municipality
赤島,あかしま,Akashima,33.183,128.983,Island
赤島,あかしま,Akashima,32.600,128.917,Island
明浜,あけはま,Akehama,33.317,132.433,Populated area
明の明星海山,あけのみょうじょうかいざん,Ake-No-Myojo Kaizan,23.550,136.800,Undersea feature
安芸川,あきがわ,Aki Gawa,33.500,133.917,River
秋川,あきがわ,Aki Gawa,35.717,139.333,River
安芸灘,あきなだ,Aki Nada,34.083,132.350,Sea Area
安芸市,あきし,Aki Shi,33.500,133.900,Municipality
秋葉山,あきはさん,Akiha San,34.983,137.867,Mountain
晶子海山,あきこかいざん,Akiko Kaizan,21.817,129.317,Undersea feature
秋の七草海山群,あきのななくさかいざんぐん,Aki-No-Nanakusa Kaizangun,28.517,148.467,Undersea feature
安芸太田町,あきおおたちょう,Akiota Cho,34.583,132.233,Municipality
あきる野市,あきるのし,Akiruno Shi,35.733,139.300,Municipality
昭島市,あきしまし,Akishima Shi,35.700,139.350,Municipality
秋田県,あきたけん,Akita Ken,39.717,140.100,Municipality
秋田市,あきたし,Akita Shi,39.717,140.100,Municipality
安芸高田市,あきたかたし,Aki-takata Shi,34.667,132.700,Municipality
秋吉台,あきよしだい,Akiyoshi Dai,34.267,131.317,Extensive natural feature
秋勇留島,あきゆりとう,Akiyuri To,43.367,146.000,Island
安家川,あっかがわ,Akka Gawa,40.050,141.850,River
安家森,あっかもり,Akka Mori,40.033,141.533,Mountain
厚岸町,あっけしちょう,Akkeshi Cho,43.050,144.850,Municipality
厚岸湖,あっけしこ,Akkeshi Ko,43.050,144.883,Lake
厚岸湾,あっけしわん,Akkeshi Wan,42.983,144.800,Sea Area
赤穂市,あこうし,Ako Shi,34.750,134.383,Municipality
阿久根市,あくねし,Akune Shi,32.017,130.200,Municipality
悪石島,あくせきじま,Akuseki Jima,29.467,129.600,Island
海士町,あまちょう,Ama Cho,36.100,133.100,Municipality
あま市,あまし,Ama Shi,35.200,136.783,Municipality
海士崎,あまざき,Ama Zaki,37.150,136.667,Cape
尼崎市,あまがさきし,Amagasaki Shi,34.733,135.400,Municipality
雨ヶ岳,あまがたけ,Amagatake,35.433,138.567,Mountain
天城町,あまぎちょう,Amagi Cho,27.817,128.900,Municipality
天城山,あまぎさん,Amagi San,34.867,139.017,Mountain
天城峠,あまぎとうげ,Amagi Toge,34.833,138.933,Pass
雨乞岳,あまごいだけ,Amagoi Dake,35.017,136.383,Mountain
雨飾山,あまかざりやま,Amakazari Yama,36.900,137.967,Mountain
天草灘,あまくさなだ,Amakusa Nada,32.450,129.883,Sea Area
天草市,あまくさし,Amakusa Shi,32.467,130.200,Municipality
天草諸島,あまくさしょとう,Amakusa Shoto,32.383,130.233,Extensive natural feature
雨巻山,あままきざん,Amamaki Zan,36.417,140.150,Mountain
奄美群島,あまみぐんとう,Amami Gunto,27.683,129.100,Extensive natural feature
奄美海盆,あまみかいぼん,Amami Kaibon,28.533,129.083,Undersea feature
奄美海台,あまみかいだい,Amami Kaidai,28.117,132.133,Undersea feature
奄美三角海盆,あまみさんかくかいぼん,Amami Sankaku Kaibon,27.567,133.983,Undersea feature
奄美市,あまみし,Amami Shi,28.383,129.500,Municipality
天の川,あまのかわ,Amanokawa,41.800,140.100,River
阿見町,あみまち,Ami Machi,36.033,140.217,Municipality
天降川,あもりがわ,Amori Gawa,31.717,130.733,River
穴水町,あなみずまち,Anamizu Machi,37.233,136.917,Municipality
阿南町,あなんちょう,Anan Cho,35.317,137.817,Municipality
阿南市,あなんし,Anan Shi,33.917,134.667,Municipality
